job_id,company_id,company_name,job_title,job_url,source,location_text,remote_policy,nyc_relevance,posted_date,job_type,salary_range,equity_range,min_experience,skills,seniority,role_family,operator_need_tags,ai_surface_tags,leadership_flag,operator_adjacent,classification_method,classification_confidence,manual_review_flag,collected_at
waas-76644,yc-30205,Scout,Software Engineer,https://www.workatastartup.com/jobs/76644,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$150K - $300K,0.30% - 0.80%,3+ years,React|TypeScript|Next.js,mid,product_engineering,security_compliance|infra_platform|reporting_bi,llm_applications|health_ai|finance_ai|legal_ai,,0,keyword,0.6,0,2026-07-08T02:51:26Z
waas-93705,yc-25969,Shaped,Software engineer,https://www.workatastartup.com/jobs/93705,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$120K - $180K,,3+ years,,mid,product_engineering,data_pipeline|agent_workflows|infra_platform,agents|health_ai|finance_ai,,0,keyword,0.6,0,2026-07-08T02:51:32Z
waas-94766,yc-25969,Shaped,Machine learning engineer,https://www.workatastartup.com/jobs/94766,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$140K - $200K,,3+ years,,mid,ai_ml_engineering,data_pipeline|product_analytics|model_eval_observability,llm_applications|computer_vision|health_ai|finance_ai,,1,keyword,0.9,0,2026-07-08T02:51:32Z
waas-93940,yc-25969,Shaped,Forward deployed engineer,https://www.workatastartup.com/jobs/93940,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $150K,,1+ years,,mid,forward_deployed_solutions,agent_workflows,agents|health_ai,,1,keyword,0.9,0,2026-07-08T02:51:32Z
waas-93939,yc-25969,Shaped,Growth marketer,https://www.workatastartup.com/jobs/93939,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $180K,,1+ years,,mid,gtm_sales_cs,infra_platform,,,0,keyword,0.9,0,2026-07-08T02:51:32Z
waas-89565,yc-25969,Shaped,Sales Development Representative (SDR),https://www.workatastartup.com/jobs/89565,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$60K - $90K,,Any (new grads ok),,mid,gtm_sales_cs,agent_workflows,agents|health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:32Z
waas-90987,yc-25969,Shaped,Frontend Engineer,https://www.workatastartup.com/jobs/90987,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $180K,,1+ years,JavaScript|React|TypeScript,mid,product_engineering,product_analytics|agent_workflows|customer_implementation,agents|health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:32Z
waas-95847,yc-29113,Simbie AI,Product Engineer / Senior Product Engineer,https://www.workatastartup.com/jobs/95847,workatastartup,"New York, NY, US / Remote (US)",hybrid,nyc_optional,,Full-time,$130K - $200K,,3+ years,,senior,product_engineering,model_eval_observability|agent_workflows|customer_implementation|security_compliance|infra_platform|internal_tools,agents|llm_applications|voice_audio|health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:34Z
waas-95703,yc-29113,Simbie AI,Forward Deployed Engineer,https://www.workatastartup.com/jobs/95703,workatastartup,"New York, NY, US / Remote (US)",hybrid,nyc_optional,,Full-time,$130K - $200K,,3+ years,Python,mid,forward_deployed_solutions,agent_workflows|customer_implementation,agents|llm_applications|voice_audio|health_ai|finance_ai,,1,keyword,0.9,0,2026-07-08T02:51:34Z
waas-32961,yc-13322,Skypher,Full Stack Developer,https://www.workatastartup.com/jobs/32961,workatastartup,Paris / Remote (US),remote,remote_us,,Full-time,$60K - $80K,0.25% - 2.00%,1+ years,JavaScript|React,mid,product_engineering,security_compliance|infra_platform|internal_tools,,,0,keyword,0.9,0,2026-07-08T02:51:36Z
waas-93021,yc-28802,Sohar Health,Head of Marketing,https://www.workatastartup.com/jobs/93021,workatastartup,"New York, NY, US / DE, US / NJ, US / FL, US / CT, US / GA, US / VA, US / ME, US / MD, US / MA, US / NC, US / SC, US / Remote (New York, NY, US; DE, US; NJ, US; FL, US; CT, US; GA, US; VA, US; ME, US; MD, US; MA, US; NC, US; SC, US)",hybrid,nyc_optional,,Full-time,$150K - $200K,0.25% - 0.50%,6+ years,,head,gtm_sales_cs,,voice_audio|health_ai|finance_ai|devtools_ai,,0,keyword,0.9,0,2026-07-08T02:51:38Z
waas-89264,yc-28996,Sola,"Software Engineer, Backend",https://www.workatastartup.com/jobs/89264,workatastartup,New York City,onsite,nyc_required,,Full-time,$150K - $300K,,3+ years,,mid,product_engineering,model_eval_observability|agent_workflows|infra_platform,agents|llm_applications|health_ai|legal_ai,,0,keyword,0.9,0,2026-07-08T02:51:40Z
waas-89265,yc-28996,Sola,"Software Engineer, Fullstack",https://www.workatastartup.com/jobs/89265,workatastartup,New York City,onsite,nyc_required,,Full-time,$150 - $300,,3+ years,,mid,product_engineering,agent_workflows|workflow_automation|security_compliance|infra_platform|reporting_bi,agents|llm_applications|health_ai|legal_ai,,0,keyword,0.9,0,2026-07-08T02:51:40Z
waas-98592,yc-25948,Spade,Technical Customer Support,https://www.workatastartup.com/jobs/98592,workatastartup,"New York, NY / Remote (US)",hybrid,nyc_optional,,Full-time,$85K - $108K,,Any (new grads ok),,mid,gtm_sales_cs,customer_implementation|gtm_analytics|internal_tools|reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:43Z
waas-98589,yc-25948,Spade,Finance Lead,https://www.workatastartup.com/jobs/98589,workatastartup,"New York, NY / Remote (US)",hybrid,nyc_optional,,Full-time,$170K - $200K,,5+ years,,lead,ops_finance_people,gtm_analytics|infra_platform|reporting_bi,voice_audio|health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:43Z
waas-98588,yc-25948,Spade,Backend Engineer (Mid/Sr),https://www.workatastartup.com/jobs/98588,workatastartup,"New York, NY",onsite,nyc_required,,Full-time,$170K - $230K,,5+ years,Python,senior,product_engineering,data_pipeline|warehouse_semantic_layer|gtm_analytics|infra_platform,agents|health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:43Z
waas-71504,yc-29474,Spur,Founding Engineer / Full Stack,https://www.workatastartup.com/jobs/71504,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$130K - $225K,0.20% - 2.00%,Any (new grads ok),Python|TypeScript|Next.js,founding,product_engineering,agent_workflows,agents|llm_applications|health_ai|devtools_ai,,0,keyword,0.9,0,2026-07-08T02:51:47Z
